county,year,energy_use
Jackson,1998,14596846.153846154
Jackson,1999,14495925.155925157
Jackson,2000,14440877.338877339
Jackson,2001,14587671.51761647
Jackson,2002,14596846.154075522
Jackson,2003,14550972.972615164
Jackson,2004,13954621.621860167
Jackson,2005,13688557.172759015
Jackson,2006,13239000.000155965
Jackson,2007,13046332.640277592
Jackson,2008,12670172.557117514
Jackson,2009,12716045.738073261
Jackson,2010,13000459.45945946
Jackson,2011,12587600.83167423
Jackson,2012,12275663.201846696
Jackson,2013,12413282.744466234
Jackson,2014,12743569.646321926
Jackson,2015,12413282.744282745
Jackson,2016,12394933.472227057
Jackson,2017,12352732.72244691
Jackson,2018,12310862.975952152
Jackson,2019,12271859.170781586
Jackson,2020,12231750.37132002
Jackson,2021,12194703.50820119
Jackson,2022,12161204.191541556
Jackson,2023,12133561.796793435
Jackson,2024,12111097.713413877
Jackson,2025,12091296.44980369
Jackson,2026,12075953.029640727
Jackson,2027,12067101.304823311
Jackson,2028,12064666.9121178
Jackson,2029,12068041.851284087
Jackson,2030,12077117.171049621
Jackson,2031,12093478.733158845
Jackson,2032,12112280.234408123
Jackson,2033,12086637.939897574
Jackson,2034,12063203.26805056
Jackson,2035,12040321.329554642
Jackson,2036,12017576.835310742
Jackson,2037,11994869.335722927
Jackson,2038,11971487.855076872
Jackson,2039,11948053.692743283
Moffat,1990,79839369.63036963
Moffat,1991,80514246.75324675
Moffat,1992,82229559.44055943
Moffat,1993,82932556.44355644
Moffat,1994,84338550.44955045
Moffat,1995,85688304.69530469
Moffat,1996,86363181.81818181
Moffat,1997,88387813.18681319
Moffat,1998,90053916.08391608
Moffat,1999,91572389.6103896
Moffat,2000,92669064.93506493
Moffat,2001,92015277.72073112
Moffat,2002,92331626.3721501
Moffat,2003,91769228.77249417
Moffat,2004,91832498.5013579
Moffat,2005,91143561.43863177
Moffat,2006,92106667.33231585
Moffat,2007,93287702.29910828
Moffat,2008,94524977.01974326
Moffat,2009,95213914.08612494
Moffat,2010,97097946.05394605
Moffat,2011,94215658.34205908
Moffat,2012,92338656.34222227
Moffat,2013,91952007.994834
Moffat,2014,90447594.40384392
Moffat,2015,90574133.86330788
Moffat,2016,92008247.75117922
Moffat,2017,92248378.48721632
Moffat,2018,92441003.1090778
Moffat,2019,92598872.07792993
Moffat,2020,92735804.77012816
Moffat,2021,92863710.51966304
Moffat,2022,92982454.87422396
Moffat,2023,93095818.18424368
Moffat,2024,93208058.30104113
Moffat,2025,93330490.41861582
Moffat,2026,93472446.95455694
Moffat,2027,93621562.84208594
Moffat,2028,93778555.91702433
Moffat,2029,93944228.13210332
Moffat,2030,94123758.52256799
Moffat,2031,94304145.48424426
Moffat,2032,94487953.78116171
Moffat,2033,94666129.42745169
Moffat,2034,94841560.23214395
Moffat,2035,95004531.65948777
Moffat,2036,95157854.17838183
Moffat,2037,95302989.42491141
Moffat,2038,95443438.50454043
Moffat,2039,95582029.74585561
Mineral,1990,27534763.636363637
Mineral,1991,28176254.545454543
Mineral,1992,28719054.545454543
Mineral,1993,29755309.09090909
Mineral,1994,31975854.545454543
Mineral,1995,33012109.09090909
Mineral,1996,36268909.09090909
Mineral,1997,36762363.63636363
Mineral,1998,38390763.63636363
Mineral,1999,39821781.81818182
Mineral,2000,41252800.0
Mineral,2001,40463272.72658189
Mineral,2002,39723090.911212765
Mineral,2003,40956727.27282596
Mineral,2004,41548872.72737142
Mineral,2005,39772436.36368573
Mineral,2006,38933563.63577149
Mineral,2007,39624400.00044412
Mineral,2008,37847963.6362156
Mineral,2009,35232654.54589867
Mineral,2010,35923490.90909091
Mineral,2011,34837890.90953502
Mineral,2012,34837890.90933765
Mineral,2013,35874145.45424935
Mineral,2014,34344436.363439
Mineral,2015,35972836.36348833
Mineral,2016,36367599.99906245
Mineral,2017,36718206.89840595
Mineral,2018,37047943.49209922
Mineral,2019,37352313.30636215
Mineral,2020,37637434.12028272
Mineral,2021,38165508.77240718
Mineral,2022,38685263.12198547
Mineral,2023,39192838.340605974
Mineral,2024,39686749.96200192
Mineral,2025,40164838.21744264
Mineral,2026,40630337.723333634
Mineral,2027,41099614.72492823
Mineral,2028,41320317.211639225
Mineral,2029,41538417.8248423
Mineral,2030,41750754.95867956
Mineral,2031,41954934.1872432
Mineral,2032,42149483.97252878
Mineral,2033,42338606.256055385
Mineral,2034,42527564.2122113
Mineral,2035,42823854.25074703
Mineral,2036,43075724.351256624
Mineral,2037,43285362.82018079
Mineral,2038,43704911.08736646
Mineral,2039,44034662.08603413
Teller,1990,136099814.62245306
Teller,1991,138784487.4151019
Teller,1992,149217606.07271275
Teller,1993,160796621.65401518
Teller,1994,172277417.4990012
Teller,1995,185296989.21294448
Teller,1996,197901855.37355176
Teller,1997,208105794.6464243
Teller,1998,214675603.6755893
Teller,1999,220274128.64562526
Teller,2000,229910576.1086696
Teller,2001,237233403.11202604
Teller,2002,239972642.4272407
Teller,2003,242471789.04997134
Teller,2004,242471789.04962227
Teller,2005,245603907.30500594
Teller,2006,248725112.26842475
Teller,2007,252795774.66872585
Teller,2008,252119149.81886253
Teller,2009,253243220.12808865
Teller,2010,255393141.0307631
Teller,2011,254214504.1981745
Teller,2012,254814735.9145535
Teller,2013,253963498.19519475
Teller,2014,255393141.03095952
Teller,2015,255709626.84697518
Teller,2016,263599945.66865033
Teller,2017,269011886.0347079
Teller,2018,274380266.5251759
Teller,2019,279731987.09387773
Teller,2020,285071351.242598
Teller,2021,289283264.0193318
Teller,2022,293471430.43985754
Teller,2023,297632697.7210523
Teller,2024,301736564.19787693
Teller,2025,305247384.5232488
Teller,2026,308138631.5515446
Teller,2027,310959089.31791794
Teller,2028,313701612.6882317
Teller,2029,316362225.46916646
Teller,2030,318979442.23302424
Teller,2031,321559467.1144642
Teller,2032,324094925.32054424
Teller,2033,326572863.9401068
Teller,2034,329014106.1419312
Teller,2035,331371191.53258777
Teller,2036,333651792.8587573
Teller,2037,335853753.454021
Teller,2038,337989401.5617367
Teller,2039,340071903.0060038
Crowley,1990,16835561.394101877
Crowley,1991,16955023.056300268
Crowley,1992,17663260.053619303
Crowley,1993,17663260.053619303
Crowley,1994,17974713.67292225
Crowley,1995,18004579.08847185
Crowley,1996,18183771.581769437
Crowley,1997,18341631.63538874
Crowley,1998,18273367.82841823
Crowley,1999,21340972.654155497
Crowley,2000,21878550.134048257
Crowley,2001,22411861.12516913
Crowley,2002,22800111.527685083
Crowley,2003,21998011.79628505
Crowley,2004,23175562.46727723
Crowley,2005,23196894.90619182
Crowley,2006,24374445.577576514
Crowley,2007,25202144.236300394
Crowley,2008,25142413.40543583
Crowley,2009,24758429.489805996
Crowley,2010,24958954.423592493
Crowley,2011,24818160.321839545
Crowley,2012,22936639.14183942
Crowley,2013,22518523.324371178
Crowley,2014,23679008.04423512
Crowley,2015,23760071.31464142
Crowley,2016,22245468.096570205
Crowley,2017,22430712.2070403
Crowley,2018,22636724.60243711
Crowley,2019,22875018.374437943
Crowley,2020,23125584.846358705
Crowley,2021,23386232.56170702
Crowley,2022,23655195.595130578
Crowley,2023,23933994.593241405
Crowley,2024,24222981.40800058
Crowley,2025,24523101.561470944
Crowley,2026,24843495.818261907
Crowley,2027,25164881.754469603
Crowley,2028,25488487.637163404
Crowley,2029,25815592.733810563
Crowley,2030,26144506.882950548
Crowley,2031,26476400.784216844
Crowley,2032,26821482.24017253
Crowley,2033,27193951.872844838
Crowley,2034,27571506.66473581
Crowley,2035,27936895.62543313
Crowley,2036,28285179.01762823
Crowley,2037,28633916.92070302
Crowley,2038,28983039.92908295
Crowley,2039,29332501.6403129
Rio Grande,1990,81941388.26690552
Rio Grande,1991,82489185.84863412
Rio Grande,1992,83265232.42274967
Rio Grande,1993,85289040.15524706
Rio Grande,1994,87236764.89028214
Rio Grande,1995,88979065.53216898
Rio Grande,1996,89945319.5999403
Rio Grande,1997,91056131.36288999
Rio Grande,1998,92189768.02507837
Rio Grande,1999,93490787.28168383
Rio Grande,2000,94563557.54590239
Rio Grande,2001,94388566.64877182
Rio Grande,2002,94411391.55303203
Rio Grande,2003,96009134.49806665
Rio Grande,2004,97568835.94185936
Rio Grande,2005,96594973.57715692
Rio Grande,2006,94639640.54085396
Rio Grande,2007,92570183.01147692
Rio Grande,2008,92098468.43055825
Rio Grande,2009,91261555.45702727
Rio Grande,2010,91436546.35020153
Rio Grande,2011,90576808.47824596
Rio Grande,2012,90272476.49012384
Rio Grande,2013,88986673.83433467
Rio Grande,2014,87814995.67278363
Rio Grande,2015,86833525.00203525
Rio Grande,2016,86917216.29945682
Rio Grande,2017,87005413.8828097
Rio Grande,2018,87062491.73111637
Rio Grande,2019,87085325.60064694
Rio Grande,2020,87072705.41113885
Rio Grande,2021,87030413.02326706
Rio Grande,2022,86965865.93471062
Rio Grande,2023,86877674.86087444
Rio Grande,2024,86773251.7407683
Rio Grande,2025,86819937.69621073
Rio Grande,2026,86861477.86785223
Rio Grande,2027,86904423.1189342
Rio Grande,2028,86951241.16159683
Rio Grande,2029,86998184.74337366
Rio Grande,2030,87042565.48647684
Rio Grande,2031,87085846.53640364
Rio Grande,2032,87127292.78282392
Rio Grande,2033,87166353.48992923
Rio Grande,2034,87204356.73939422
Rio Grande,2035,87244101.56665933
Rio Grande,2036,87285860.81452912
Rio Grande,2037,87331642.55887209
Rio Grande,2038,87381164.94060716
Rio Grande,2039,87435472.21161099
Denver,1990,5109588184.748568
Denver,1991,5189619352.923898
Denver,1992,5332480667.184474
Denver,1993,5475232768.606382
Denver,1994,5507079232.361741
Denver,1995,5544954244.811529
Denver,1996,5660064576.766767
Denver,1997,5760343805.230998
Denver,1998,5825511106.063722
Denver,1999,5957724168.554245
Denver,2000,6080315579.958187
Denver,2001,6151959202.143534
Denver,2002,6105980597.041706
Denver,2003,6119719572.15696
Denver,2004,6118430860.59079
Denver,2005,6110010550.727367
Denver,2006,6147175679.719264
Denver,2007,6229904405.354787
Denver,2008,6355127845.906314
Denver,2009,6504421796.411346
Denver,2010,6606011578.882796
Denver,2011,6778666155.54522
Denver,2012,6929237896.030807
Denver,2013,7078761193.423215
Denver,2014,7239227617.318557
Denver,2015,7433659234.251269
Denver,2016,7571638734.061956
Denver,2017,7682709946.826979
Denver,2018,7792653481.634007
Denver,2019,7903234171.2526655
Denver,2020,8013654207.564647
Denver,2021,8124662870.786861
Denver,2022,8247567996.589727
Denver,2023,8382874339.081627
Denver,2024,8530755521.832296
Denver,2025,8691741666.37096
Denver,2026,8853889137.83413
Denver,2027,9014478171.491796
Denver,2028,9161153533.43959
Denver,2029,9293445545.449966
Denver,2030,9410931881.266111
Denver,2031,9513621851.042255
Denver,2032,9607449063.80093
Denver,2033,9692593590.564987
Denver,2034,9769251959.80921
